NR;DAP;HT;HP;VOL
1;34;27;1,8;0,897144143
2;41,5;27,95;2,75;1,620444067
3;29,6;26,35;1,15;0,800818082
4;34,3;27,15;1,95;1,079168178
5;34,5;26,2;1;0,98011117
6;29,9;27,1;1,9;0,90670219
7;28,4;25,4;2,3;0,773158479
8;29,5;25,5;2,4;0,871500147
9;36,3;27;1,8;1,313246912
10;36,3;26,7;1,5;1,386889064
11;32,5;26,65;1,45;1,05488406
12;28,9;25,75;2,65;0,958481737
13;32,6;27,7;2,5;1,080176734
14;28;23,6;2,6;0,707953624
15;29,9;24,75;1,65;0,80218652
16;35,5;24,35;1,25;1,021154861
17;39,2;26,95;1,75;1,593808401
18;33,6;25,1;2;0,966786969
19;37,8;27,95;2,75;1,575067806
20;43,8;27,7;2,5;1,811451984
21;34,5;27,3;2,1;1,235541345
22;36,6;27,35;2,15;1,410937091
23;31,5;24,7;1,6;1,097025973
24;42,6;26,5;3,4;2,183092382
25;32;27,1;1,9;1,096088783
26;37,5;27,5;2,3;1,297105343
27;28,5;25,75;2,65;0,816150625
28;34;27,7;2,5;1,159136974
29;32,5;26,9;1,7;1,164796069
30;30,5;25,7;2,6;1,057496333
31;33,5;25,55;2,45;1,054169622
32;31,5;25,7;2,6;1,111284759
33;27,5;25,3;2,2;0,69816124
34;33,2;26,9;1,7;1,293219861
35;32,5;26,4;1,2;1,068561769
36;48;27,6;2,4;2,474600725
37;32,6;27,3;2,1;1,090368427
38;30,5;27,15;1,95;1,055454416
39;29,5;27,6;2,4;0,91374157
40;39,5;27,9;2,7;1,6585749
41;38;23,9;2,9;1,223326637
42;32,6;25,65;2,55;1,019462917
43;36,8;26,6;1,4;1,294737944
44;37,4;24,6;1,5;1,532379793
45;46,9;26,85;1,65;2,2877395
46;33;24,4;1,3;1,289547208
47;32,5;26,7;1,5;1,121396249
48;36,5;24,85;1,75;1,631535683
49;37,5;28,4;3,2;1,562016727
50;41;28,35;3,15;1,669449797
51;39;27,8;2,6;1,618694907
52;34,5;25,35;2,25;1,39629994
53;38,5;26,95;1,75;1,44058544
54;34;25,05;1,95;1,290200345
55;37;26,95;1,75;1,449697656
56;39,5;25,2;2,1;1,84115861
57;40,5;26,95;1,75;1,705795393
58;38,5;25,5;2,4;1,663501192
59;37,6;26,3;3,2;1,696968146
60;48;24,8;1,7;2,46730791
61;42,5;26,9;1,7;1,693964875
62;42,5;26,4;1,2;1,647382269
63;30,5;25,5;2,4;0,885574757
64;34,5;27;1,8;1,336868586
65;32;27,55;2,35;1,238372653
66;45;26,35;1,15;1,723427216
67;31,5;25,6;2,5;1,133460633
68;36,5;26,85;1,65;1,315467232
69;39,5;26,4;1,2;1,512153041
70;49;24,7;1,6;2,524499191
71;33,5;24,2;1,1;1,17376656
72;35;27,9;2,7;1,438394651
73;29,5;22,8;1,8;0,756933685
74;34,5;26;2,9;1,343324638
75;36,5;24,1;1;1,342169553
76;36,5;25,7;2,6;1,257222144
77;37;25,55;2,45;1,304124865
78;40;25,5;2,4;1,492358651
79;43,5;25,2;2,1;1,969654265
80;35;27,5;2,3;1,427657446
81;44;26,05;2,95;2,303479901
82;33,4;25,2;2,1;1,217760677
83;40,1;26,1;3;1,745768429
84;35,6;27,5;2,3;1,353220746
85;37,6;27,15;1,95;1,491812093
86;38,5;26,7;1,5;1,665473994
87;29;25,5;2,4;0,973841454
88;35,5;27,8;2,6;1,428755119
89;32,5;25,5;2,4;1,044920145
90;27,6;25,35;2,25;0,812943491
91;44,5;26,5;3,4;2,062238925
92;31,1;27,55;2,35;1,034404868
93;39,5;26;2,9;1,538627478
94;42;27,1;1,9;1,942963595
95;31,5;23,5;2,5;0,922165279
96;33,1;25,75;2,65;1,096695556
97;31;25,7;2,6;1,051435023
98;43;27,9;2,7;2,009060479
99;40;24,2;1,1;1,741120875
100;38;27,65;2,45;1,533672414
